valve pressure,leakage
65,no
59,no
52,no
69,no
29,no
100,no
61,no
46,no
61,no
15,no
57,no
43,no
45,no
10,no
7,no
87,no
16,no
50,no
36,no
18,no
79,no
10,no
30,no
97,no
1,no
10,no
87,no
10,no
25,no
51,no
58,no
58,no
89,no
13,no
71,no
89,no
3,no
89,no
91,no
96,no
91,no
34,no
82,no
47,no
58,no
0,no
64,no
18,no
31,no
15,no
2,no
43,no
55,no
22,no
34,no
16,no
90,no
21,no
28,no
86,no
42,no
86,no
5,no
12,no
73,no
71,no
73,no
32,no
92,no
29,no
97,no
34,no
2,no
88,no
35,no
74,no
36,no
20,no
23,no
24,no
56,no
81,no
21,no
69,no
96,no
2,no
38,no
69,no
37,no
95,no
60,no
18,no
44,no
11,no
28,no
45,no
63,no
28,no
84,no
42,no
44,no
17,no
7,no
33,no
96,no
20,no
43,no
87,no
0,no
87,no
53,no
52,no
4,no
96,no
72,no
66,no
71,no
85,no
5,no
97,no
25,no
32,no
39,no
87,no
56,no
100,no
100,no
18,no
8,no
6,no
77,no
92,no
37,no
77,no
5,no
98,no
97,no
39,no
32,no
0,no
67,no
42,no
28,no
11,no
95,no
52,no
22,no
38,no
66,no
37,no
35,no
24,no
20,no
66,no
33,no
19,no
73,no
69,no
92,no
63,no
27,no
83,no
50,no
18,no
52,no
77,no
46,no
44,no
38,no
33,no
13,no
85,no
75,no
73,no
34,no
92,no
51,no
87,no
83,no
41,no
9,no
24,no
99,no
72,no
26,no
66,no
97,no
17,no
62,no
36,no
32,no
11,no
54,no
32,no
95,no
36,no
68,no
18,no
6,no
10,no
61,no
8,no
33,no
60,no
0,no
35,no
97,no
73,no
36,no
73,no
67,no
46,no
94,no
76,no
38,no
5,no
14,no
81,no
25,no
64,no
76,no
52,no
75,no
27,no
99,no
80,no
83,no
43,no
87,no
19,no
11,no
74,no
42,no
41,no
25,no
22,no
31,no
1,no
72,no
18,no
87,no
3,no
48,no
79,no
55,no
69,no
79,no
60,no
72,no
50,no
79,no
50,no
86,no
86,no
44,no
14,no
28,no
59,no
6,no
23,no
100,no
58,no
25,no
73,no
69,no
28,no
37,no
64,no
53,no
31,no
6,no
36,no
12,no
81,no
64,no
2,no
68,no
49,no
23,no
76,no
98,no
11,no
13,no
44,no
61,no
37,no
52,no
82,no
27,no
36,no
29,no
83,no
61,no
43,no
35,no
22,no
61,no
52,no
85,no
84,no
68,no
45,no
76,no
84,no
72,no
85,no
47,no
83,no
44,no
43,no
77,no
97,no
80,no
90,no
72,no
31,no
10,no
57,no
55,no
19,no
26,no
14,no
74,no
41,no
60,no
52,no
97,no
90,no
20,no
34,no
67,no
55,no
14,no
88,no
54,no
10,no
95,no
85,no
45,no
89,no
32,no
91,no
11,no
16,no
38,no
3,no
1,no
6,no
81,no
54,no
26,no
70,no
89,no
43,no
11,no
78,no
72,no
93,no
60,no
58,no
96,no
14,no
5,no
97,no
12,no
34,no
1,no
86,no
97,no
25,no
85,no
64,no
56,no
89,no
46,no
84,no
93,no
90,no
61,no
96,no
49,no
59,no
40,no
15,no
18,no
51,no
1,no
18,no
6,no
60,no
83,no
48,no
48,no
100,no
95,no
36,no
51,no
79,no
13,no
78,no
50,no
9,no
58,no
14,no
7,no
84,no
54,no
39,no
95,no
55,no
17,no
57,no
9,no
55,no
98,no
13,no
98,no
22,no
28,no
63,no
24,no
46,no
39,no
15,no
21,no
92,no
40,no
60,no
2,no
59,no
29,no
15,no
38,no
75,no
75,no
85,no
45,no
11,no
97,no
22,no
30,no
80,no
83,no
15,no
46,no
6,no
15,no
17,no
94,no
43,no
3,no
90,no
58,no
77,no
82,no
0,no
31,no
34,no
61,no
67,no
17,no
40,no
34,no
96,no
3,no
10,no
51,no
8,no
79,no
54,no
72,no
12,no
92,no
57,no
36,no
82,no
39,no
17,no
10,no
7,no
15,no
92,no
84,no
77,no
25,no
75,no
10,no
92,no
56,no
27,no
79,no
51,no
44,no
87,no
100,no
91,no
65,no
65,no
27,no
84,no
93,no
0,no
51,no
20,no
100,no
19,no
80,no
37,no
29,no
88,no
19,no
54,no
70,no
64,no
99,no
49,no
92,no
50,no
80,no
72,no
63,no
49,no
75,no
86,no
97,no
30,no
36,no
12,no
22,no
19,no
72,no
41,no
90,no
49,no
37,no
21,no
61,no
27,no
86,no
31,no
42,no
98,no
12,no
97,no
53,no
53,no
83,no
47,no
28,no
58,no
8,no
26,no
63,no
66,no
75,no
44,no
90,no
53,no
74,no
13,no
24,no
12,no
93,no
11,no
90,no
88,no
88,no
41,no
28,no
14,no
36,no
88,no
26,no
89,no
46,no
81,no
98,no
43,no
53,no
6,no
85,no
80,no
76,no
26,no
97,no
100,no
46,no
20,no
39,no
3,no
89,no
3,no
16,no
3,no
25,no
12,no
19,no
70,no
27,no
88,no
89,no
49,no
24,no
45,no
65,no
1,no
49,no
87,no
1,no
97,no
78,no
3,no
73,no
24,no
97,no
31,no
37,no
80,no
15,no
3,no
76,no
48,no
82,no
45,no
70,no
87,no
56,no
4,no
89,no
22,no
51,no
24,no
53,no
39,no
5,no
43,no
74,no
9,no
48,no
36,no
9,no
17,no
3,no
79,no
25,no
32,no
83,no
49,no
87,no
82,no
60,no
28,no
85,no
67,no
78,no
63,no
18,no
84,no
22,no
100,no
31,no
85,no
53,no
33,no
0,no
71,no
63,no
0,no
50,no
49,no
79,no
54,no
99,no
76,no
22,no
93,no
95,no
4,no
83,no
63,no
46,no
4,no
11,no
36,no
97,no
1,no
28,no
77,no
77,no
10,no
29,no
17,no
64,no
26,no
53,no
98,no
92,no
40,no
6,no
9,no
1,no
24,no
92,no
1,no
58,no
42,no
57,no
100,no
84,no
1,no
27,no
97,no
30,no
36,no
25,no
12,no
24,no
1,no
31,no
84,no
70,no
82,no
3,no
43,no
57,no
26,no
50,no
15,no
22,no
63,no
74,no
54,no
20,no
94,no
61,no
91,no
97,no
5,no
54,no
75,no
39,no
76,no
57,no
79,no
93,no
5,no
84,no
54,no
89,no
80,no
13,no
56,no
53,no
13,no
86,no
76,no
83,no
75,no
85,no
95,no
90,no
42,no
94,no
32,no
10,no
98,no
18,no
78,no
94,no
1,no
45,no
23,no
62,no
23,no
77,no
35,no
83,no
54,no
92,no
81,no
26,no
59,no
92,no
60,no
96,no
11,no
23,no
30,no
42,no
67,no
51,no
81,no
85,no
98,no
54,no
32,no
70,no
62,no
88,no
1,no
97,no
0,no
98,no
87,no
43,no
74,no
83,no
57,no
64,no
4,no
56,no
78,no
4,no
11,no
49,no
63,no
7,no
62,no
99,no
7,no
50,no
80,no
15,no
2,no
80,no
95,no
38,no
42,no
39,no
86,no
43,no
91,no
38,no
72,no
96,no
0,no
40,no
54,no
86,no
71,no
87,no
24,no
8,no
59,no
62,no
25,no
15,no
68,no
64,no
34,no
50,no
64,no
46,no
37,no
14,no
40,no
55,no
40,no
42,no
38,no
39,no
86,no
74,no
82,no
30,no
68,no
31,no
89,no
87,no
44,no
77,no
49,no
95,no
24,no
8,no
35,no
51,no
79,no
18,no
65,no
64,no
42,no
35,no
77,no
2,no
27,no
94,no
51,no
79,no
85,no
12,no
3,no
12,no
71,no
28,no
63,no
11,no
86,no
65,no
47,no
99,no
7,no
57,no
48,no
16,no
14,no
79,no
71,no
2,no
57,no
31,no
97,no
45,no
66,no
34,no
29,no
45,no
60,no
67,no
76,no
11,no
85,no
46,no
25,no
13,no
16,no
62,no
56,no
4,no
27,no
30,no
16,no
65,no
48,no
86,no
95,no
6,no
24,no
46,no
69,no
5,no
48,no
45,no
64,no
17,no
10,no
90,no
24,no
24,no
8,no
30,no
12,no
99,no
45,no
68,no
44,no
73,no
13,no
15,no
30,no
53,no
27,no
60,no
38,no
33,no
87,no
7,no
23,no
22,no
12,no
44,no
99,no
30,no
51,no
4,no
82,no
87,no
24,no
50,no
59,no
58,no
81,no
22,no
29,no
9,no
17,no
8,no
20,no
33,no
97,no
99,no
83,no
99,no
33,no
76,no
66,no
71,no
63,no
6,no
78,no
71,no
84,no
24,no
24,no
7,no
27,no
64,no
2,no
42,no
82,no
62,no
16,no
9,no
70,no
82,no
93,no
45,no
41,no
62,no
53,no
58,no
63,no
26,no
66,no
0,no
64,no
52,no
35,no
100,no
37,no
82,no
83,no
59,no
81,no
20,no
45,no
50,no
2,no
86,no
16,no
59,no
97,no
27,no
23,no
0,no
1,no
27,no
21,no
49,no
24,no
92,no
31,no
88,no
77,no
56,no
13,no
77,no
32,no
82,no
6,no
33,no
4,no
23,no
38,no
94,no
19,no
79,no
4,no
72,no
57,no
11,no
27,no
64,no
3,no
94,no
84,no
65,no
88,no
14,no
29,no
79,no
70,no
92,no
73,no
5,no
7,no
63,no
84,no
59,no
98,no
89,no
18,no
62,no
70,no
65,no
11,no
45,no
86,no
63,no
85,no
95,no
35,no
9,no
100,no
74,no
63,no
4,no
17,no
92,no
4,no
92,no
64,no
48,no
21,no
54,no
93,no
33,no
30,no
92,no
100,no
75,no
19,no
95,no
41,no
6,no
72,no
3,no
51,no
55,no
33,no
66,no
76,no
75,no
54,no
48,no
82,no
47,no
59,no
84,no
2,no
20,no
60,no
28,no
40,no
41,no
29,no
24,no
60,no
72,no
8,no
29,no
66,no
53,no
59,no
87,no
49,no
85,no
10,no
6,no
23,no
28,no
75,no
82,no
49,no
35,no
98,no
21,no
77,no
8,no
54,no
73,no
2,no
35,no
26,no
96,no
69,no
56,no
51,no
0,no
61,no
46,no
17,no
78,no
53,no
9,no
15,no
76,no
71,no
46,no
19,no
44,no
36,no
65,no
47,no
3,no
36,no
69,no
75,no
35,no
60,no
86,no
41,no
45,no
10,no
60,no
63,no
95,no
83,no
1,no
88,no
75,no
17,no
68,no
35,no
52,no
2,no
38,no
39,no
77,no
53,no
86,no
8,no
0,no
70,no
70,no
94,no
18,no
83,no
78,no
100,no
78,no
90,no
6,no
91,no
63,no
15,no
93,no
41,no
38,no
62,no
89,no
72,no
68,no
77,no
74,no
9,no
77,no
39,no
45,no
62,no
74,no
15,no
98,no
53,no
24,no
66,no
92,no
55,no
42,no
6,no
29,no
85,no
57,no
66,no
86,no
66,no
72,no
38,no
74,no
88,no
76,no
60,no
72,no
89,no
10,no
78,no
18,no
60,no
4,no
67,no
73,no
47,no
58,no
97,no
75,no
57,no
47,no
96,no
65,no
47,no
23,no
32,no
19,no
82,no
34,no
10,no
24,no
30,no
29,no
40,no
91,no
17,no
64,no
44,no
80,no
5,no
82,no
80,no
88,no
88,no
80,no
70,no
8,no
50,no
61,no
8,no
4,no
73,no
99,no
2,no
81,no
13,no
56,no
58,no
91,no
15,no
17,no
44,no
32,no
74,no
82,no
41,no
51,no
14,no
17,no
68,no
1,no
44,no
5,no
92,no
47,no
42,no
43,no
27,no
9,no
39,no
99,no
33,no
63,no
72,no
12,no
67,no
70,no
48,no
79,no
45,no
52,no
88,no
69,no
81,no
15,no
73,no
55,no
85,no
58,no
90,no
92,no
100,no
91,no
77,no
59,no
15,no
30,no
39,no
98,no
52,no
47,no
70,no
44,no
80,no
63,no
15,no
71,no
69,no
1,no
65,no
24,no
72,no
72,no
7,no
29,no
63,no
85,no
1,no
62,no
55,no
41,no
24,no
30,no
49,no
74,no
71,no
50,no
2,no
90,no
75,no
18,no
66,no
22,no
64,no
68,no
74,no
59,no
72,no
80,no
19,no
88,no
25,no
69,no
10,no
89,no
54,no
86,no
90,no
